ID,VendorID,Vendor,AccountCode,AccountDescription,DocNo,Amount,Date,Source
3359,,HAYS PERSONNEL SERVICES LTD,,Temporary Agency Staff Costs,,2326.50,2008-12-02,110-december_2008
3360,,HAYS IT,,Capital Expenditure - Consultancy,,14035.96,2008-12-02,109-december_2008
3361,,HAYS IT,,Temporary Agency Staff Costs,,14960.95,2008-12-02,108-december_2008
3362,,HAYS IT,,Capital Expenditure - Consultancy,,15679.20,2008-12-02,107-december_2008
3363,,GREENSPACE,,Grants to Other Bodies,,1000.00,2008-12-02,106-december_2008
3364,,GREATER LONDON HIRE LTD,,Taxi Account Charges,,1569.71,2008-12-02,105-december_2008
3365,,GOODMAN MASSON,,Temporary Agency Staff Costs,,1292.36,2008-12-02,104-december_2008
3366,,GOODMAN MASSON,,Temporary Agency Staff Costs,,1326.82,2008-12-02,103-december_2008
3367,,GOODMAN MASSON,,Temporary Agency Staff Costs,,1390.35,2008-12-02,102-december_2008
3368,,GOODMAN MASSON,,Temporary Agency Staff Costs,,1517.28,2008-12-02,101-december_2008
3369,,GOODMAN MASSON,,Temporary Agency Staff Costs,,1525.13,2008-12-02,100-december_2008
3370,,GOODMAN MASSON,,Temporary Agency Staff Costs,,1558.29,2008-12-02,99-december_2008
3371,,GOODMAN MASSON,,Temporary Agency Staff Costs,,1764.26,2008-12-02,98-december_2008
3372,,GOODMAN MASSON,,Temporary Agency Staff Costs,,1833.00,2008-12-02,97-december_2008
3373,,GOLDER ASSOCIATES (EUROPE) LTD,,Consultancy Fees,,9870.00,2008-12-02,96-december_2008
3374,,URBAN GRAPHICS,,Consultancy Fees,,8423.34,2008-12-02,239-december_2008
3375,,UNIVERSITY OF WESTMINSTER,,Professional Course Expenses,,2048.00,2008-12-02,238-december_2008
3376,,TOWN AND COUNTRY PLANNING ASSOC.,,Staff Professional Subscriptions,,1330.00,2008-12-02,237-december_2008
3377,,TOWER HAMLETS SUMMER UNIVERSITY,,Other Supplies & Services,,2000.00,2008-12-02,236-december_2008
3378,,THREE DRAGONS (AG) LTD,,Consultancy Fees,,5234.63,2008-12-02,235-december_2008
3379,,THE SUSAN MILLS PORTFOLIO LTD,,Temporary Agency Staff Costs,,1127.11,2008-12-02,234-december_2008
3380,,THE SUSAN MILLS PORTFOLIO LTD,,Temporary Agency Staff Costs,,1137.40,2008-12-02,233-december_2008
3381,,THE SUSAN MILLS PORTFOLIO LTD,,Temporary Agency Staff Costs,,1154.94,2008-12-02,232-december_2008
3382,,THE PEACE ALLIANCE,,Grants to Other Bodies,,14500.00,2008-12-02,231-december_2008
3383,,THE MENTAL HEALTH COMPANY,,Other External Services,,2119.20,2008-12-02,230-december_2008
3384,,THE COGENCY,,Other Supplies & Services,,11749.99,2008-12-02,229-december_2008
3385,,THE COGENCY,,Other Supplies & Services,,11749.99,2008-12-02,228-december_2008
3386,,THE COGENCY,,Other Supplies & Services,,11749.99,2008-12-02,227-december_2008
3387,,THE COGENCY,,Other Supplies & Services,,11749.99,2008-12-02,226-december_2008
3388,,THAMES WATER UTILITIES LTD,,Water & Sewage Charges,,2147.71,2008-12-02,225-december_2008
3389,,THAMES WATER UTILITIES LTD,,Water & Sewage Charges,,3882.39,2008-12-02,224-december_2008
3390,,SYSTEMS ACCOUNTANTS,,Temporary Agency Staff Costs,,6168.75,2008-12-02,223-december_2008
3391,,SYSTEMS ACCOUNTANTS,,Temporary Agency Staff Costs,,6462.50,2008-12-02,222-december_2008
3392,,STEPHEN FRIEDMAN GALLERY,,Other External Services,,11500.00,2008-12-02,221-december_2008
3393,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Publications Printing,,-89.26,2008-12-02,220-december_2008
3394,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Photocopying Charges,,1072.42,2008-12-02,219-december_2008
3395,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Photocopying Charges,,1127.40,2008-12-02,218-december_2008
3396,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Photocopying Charges,,1163.81,2008-12-02,217-december_2008
3397,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Photocopying Charges,,1253.86,2008-12-02,216-december_2008
3398,,STAIRWAY CONSULTANCY LTD,,Training Courses,,1150.00,2008-12-02,215-december_2008
3399,,STAGE ELECTRICS,,Other Supplies & Services,,12164.78,2008-12-02,214-december_2008
3400,,SPEECHLY BIRCHAM,,Legal Fees,,1193.70,2008-12-02,213-december_2008
3401,,SOUTHWARK CATHEDRAL ENTERPRISES LIMITED,,Other External Services,,1292.50,2008-12-02,212-december_2008
3402,,SOUND PERFORMANCE LTD,,Other Printing,,1292.50,2008-12-02,211-december_2008
3403,,SONY UNITED KINGDON LTD,,IT Consumables,,1856.24,2008-12-02,210-december_2008
3404,,SOLCARA LTD,,Other External Services,,3436.88,2008-12-02,209-december_2008
3405,,SOFRA INTERNATIONAL LTD,,Other External Services,,5377.00,2008-12-02,208-december_2008
3406,,SODEXO PRESTIGE LIMITED,,Other External Services,,4700.00,2008-12-02,207-december_2008
3407,,SMALL BACK ROOM,,Other Supplies & Services,,1175.00,2008-12-02,206-december_2008
3408,,RUSSELL HARRIS,,Legal Fees,,6462.50,2008-12-02,205-december_2008
3409,,RSA ADEPLHI ENTERPRISES LTD,,Hire of Premises,,2761.25,2008-12-02,204-december_2008
3410,,ROYAL MAIL GROUP PLC,,Postage,,-8295.05,2008-12-02,203-december_2008
3411,,ROYAL MAIL GROUP PLC,,Postage,,8437.74,2008-12-02,202-december_2008
3412,,TATTERSHALL CASTLE,,Other External Services,,3950.00,2008-12-02,273-december_2008
3413,,ZOOLOGICAL SOCIETY OF LONDON,,Grants to Other Bodies,,-158172.63,2008-12-02,272-december_2008
3414,,ZOOLOGICAL SOCIETY OF LONDON,,Grants to Other Bodies,,134615.00,2008-12-02,271-december_2008
3415,,WRAP IT FIRST CIC,,Consultancy Fees,,6681.00,2008-12-02,270-december_2008
3416,,WRAGGE & CO,,Legal Fees,,2937.50,2008-12-02,269-december_2008
3417,,WORDWAVE INTERNATIONAL,,Translation Fees,,2616.25,2008-12-02,268-december_2008
3418,,WILLIS NEWS DISTRIBUTION LTD,,"Journals, Serials & Newspapers",,-6.37,2008-12-02,267-december_2008
3419,,WILLIS NEWS DISTRIBUTION LTD,,"Journals, Serials & Newspapers",,-6.37,2008-12-02,266-december_2008
3420,,WILLIS NEWS DISTRIBUTION LTD,,"Journals, Serials & Newspapers",,1409.02,2008-12-02,265-december_2008
3421,,WILLIS NEWS DISTRIBUTION LTD,,"Journals, Serials & Newspapers",,1502.30,2008-12-02,264-december_2008
3422,,WAUGHGROUP,,Uniform Purchase,,1590.96,2008-12-02,263-december_2008
3423,,VOLCANO SYSTEMS LIMITED,,Capital Expenditure - Consultancy,,3450.00,2008-12-02,262-december_2008
3424,,VODAFONE CORPORATE,,Mobile Phones - Call Charges,,43853.67,2008-12-02,261-december_2008
3425,,VEOLIA ES ONYX LTD,,Litter Clearing Contract,,30352.78,2008-12-02,260-december_2008
3426,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1028.68,2008-12-02,259-december_2008
3427,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1028.68,2008-12-02,258-december_2008
3428,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1028.68,2008-12-02,257-december_2008
3429,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1150.00,2008-12-02,256-december_2008
3430,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1150.00,2008-12-02,255-december_2008
3431,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1150.00,2008-12-02,254-december_2008
3432,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1175.00,2008-12-02,253-december_2008
3433,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1345.50,2008-12-02,252-december_2008
3434,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1380.00,2008-12-02,251-december_2008
3435,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1466.25,2008-12-02,250-december_2008
3436,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1551.00,2008-12-02,249-december_2008
3437,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1569.75,2008-12-02,248-december_2008
3438,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1586.25,2008-12-02,247-december_2008
3439,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1598.15,2008-12-02,246-december_2008
3440,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1668.94,2008-12-02,245-december_2008
3441,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1688.35,2008-12-02,244-december_2008
3442,,VENN GROUP LIMITED,,Temporary Agency Staff Costs,,1734.96,2008-12-02,243-december_2008
3443,,VAN VYNCK ENVIRONMENTAL SERVICES LIMITED,,Pest Control,,5287.50,2008-12-02,242-december_2008
3444,,VALUATION OFFICE AGENCY ADMIN,,Consultancy Fees,,11327.00,2008-12-02,241-december_2008
3445,,VALUATION OFFICE AGENCY ADMIN,,Consultancy Fees,,11609.00,2008-12-02,240-december_2008
3446,,ACCOR SERVICES,,Other Supplies & Services,,6851.00,2008-12-02,5-december_2008
3447,,ACCOR SERVICES,,Other Supplies & Services,75284,6931.51,2009-01-02,5-january_2009
3448,,ALISCAFF,,Other External Services,75724,6820.65,2009-01-02,7-january_2009
3449,,AMAS LTD COMMON RECEIPTS ACCOUNT,,Lease Costs,75075,1656027.67,2009-01-02,8-january_2009
3450,,AMAS LTD COMMON RECEIPTS ACCOUNT,,VAT - Input Control,2450,-558.18,2009-01-02,9-january_2009
3451,,AMAS LTD COMMON RECEIPTS ACCOUNT,,City Hall Licenses,2457,-881.25,2009-01-02,10-january_2009
3452,,AMAS LTD COMMON RECEIPTS ACCOUNT,,VAT - Input Control,2451,-35234.63,2009-01-02,11-january_2009
3453,,AMAZE (EUROPE) LTD,,Capital Expenditure - Consultancy,74805,21363.55,2009-01-02,12-january_2009
3454,,ANDERS ELITE,,Capital Expenditure - Consultancy,73783,2653.55,2009-01-02,13-january_2009
3455,,ANDERS ELITE,,Capital Expenditure - Consultancy,74744,2639.02,2009-01-02,14-january_2009
3456,,ANDERS ELITE,,Capital Expenditure - Consultancy,75216,2639.02,2009-01-02,15-january_2009
3457,,ANDERS ELITE,,Capital Expenditure - Consultancy,74746,2474.11,2009-01-02,16-january_2009
3458,,ANDERS ELITE,,Capital Expenditure - Consultancy,75212,2474.11,2009-01-02,17-january_2009
3459,,ANDERS ELITE,,Capital Expenditure - Consultancy,75791,2474.11,2009-01-02,18-january_2009
3460,,ANDERS ELITE,,Capital Expenditure - Consultancy,75995,2474.11,2009-01-02,19-january_2009
3461,,ANDERS ELITE,,Temporary Agency Staff Costs,75799,1616.41,2009-01-02,20-january_2009
3462,,ANDERS ELITE,,Capital Expenditure - Consultancy,75217,1583.41,2009-01-02,21-january_2009
3463,,ANDERS ELITE,,Temporary Agency Staff Costs,75797,1385.49,2009-01-02,22-january_2009
3464,,ANDERS ELITE,,Temporary Agency Staff Costs,75796,1154.58,2009-01-02,23-january_2009
3465,,ANDERS ELITE,,Capital Expenditure - Consultancy,75792,1055.61,2009-01-02,24-january_2009
3466,,ANNODATA BUSINESS COMM.,,Photocopying Charges,74167,6181.30,2009-01-02,25-january_2009
3467,,ANNODATA BUSINESS COMM.,,Photocopying Charges,75153,1608.32,2009-01-02,26-january_2009
3468,,BADENOCH & CLARK,,Temporary Agency Staff Costs,75758,1775.03,2009-01-02,27-january_2009
3469,,BADENOCH & CLARK,,Temporary Agency Staff Costs,75377,1657.30,2009-01-02,28-january_2009
3470,,BADENOCH & CLARK,,Temporary Agency Staff Costs,75078,1657.00,2009-01-02,29-january_2009
3471,,BADENOCH & CLARK,,Temporary Agency Staff Costs,75379,1519.79,2009-01-02,30-january_2009
3472,,BADENOCH & CLARK,,Temporary Agency Staff Costs,75082,1476.17,2009-01-02,31-january_2009
3473,,BADENOCH & CLARK,,Temporary Agency Staff Costs,75079,1298.15,2009-01-02,32-january_2009
3474,,BADENOCH & CLARK,,Temporary Agency Staff Costs,75756,1122.98,2009-01-02,33-january_2009
3475,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,74213,2310.65,2009-01-02,34-january_2009
3476,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2485,-5.23,2009-01-02,35-january_2009
3477,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2479,-5.68,2009-01-02,36-january_2009
3478,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2441,-5.70,2009-01-02,37-january_2009
3479,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2419,-6.51,2009-01-02,38-january_2009
3480,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2478,-8.79,2009-01-02,39-january_2009
3481,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2477,-15.66,2009-01-02,40-january_2009
3482,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2482,-16.08,2009-01-02,41-january_2009
3483,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2481,-20.81,2009-01-02,42-january_2009
3484,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2476,-27.22,2009-01-02,43-january_2009
3485,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2480,-28.41,2009-01-02,44-january_2009
3486,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2460,-37.65,2009-01-02,45-january_2009
3487,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2484,-54.12,2009-01-02,46-january_2009
3488,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2483,-61.12,2009-01-02,47-january_2009
3489,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2459,-91.68,2009-01-02,48-january_2009
3490,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2455,-103.59,2009-01-02,49-january_2009
3491,,AHREND,,Capital Expenditure - Furniture,74818,1858.78,2009-01-02,6-january_2009
3492,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2464,-736.26,2009-01-02,51-january_2009
3493,,BCD TRAVEL,,Foreign Travel,2453,-54.50,2009-01-02,52-january_2009
3494,,BEXLEY ACCESSIBLE TRANSPORT,,Domestic Travel,2493,-51.00,2009-01-02,53-january_2009
3495,,BLISS EVENTS,,Other Supplies & Services,75033,20700.00,2009-01-02,54-january_2009
3496,,BLUE LIONS,,Other External Services,75474,1230.00,2009-01-02,55-january_2009
3497,,BRITISH GAS BUSINESS,,Electricity Charges,74721,2436.51,2009-01-02,56-january_2009
3498,,BRITISH GAS BUSINESS,,Electricity Charges,73847,1478.23,2009-01-02,57-january_2009
3499,,BT LTD,,Data Links,75765,1444.76,2009-01-02,58-january_2009
3500,,BUPA,,Health Screening,75133,2384.00,2009-01-02,59-january_2009
3501,,BYWATERS (LEYTON) LTD,,Waste Management,75567,4018.46,2009-01-02,60-january_2009
3502,,CABE,,Other Recruitment Expenses,75897,2643.24,2009-01-02,61-january_2009
3503,,CACI MARKET PLANNING GROUP,,Stationery & Consumables,75868,24921.88,2009-01-02,62-january_2009
3504,,CALYX UK LIMITED,,Temporary Agency Staff Costs,2447,-920.00,2009-01-02,63-january_2009
3505,,CAPITALIZE LTD,,Training Courses,75766,1509.45,2009-01-02,64-january_2009
3506,,CASH FRIDAY,,Temporary Agency Staff Costs,76041,1543.50,2009-01-02,65-january_2009
3507,,CASH FRIDAY,,Temporary Agency Staff Costs,75381,1419.64,2009-01-02,66-january_2009
3508,,CASH FRIDAY,,Temporary Agency Staff Costs,75382,1410.11,2009-01-02,67-january_2009
3509,,CATALYST BUSINESS DYNAMICS,,Training Courses,75815,1468.75,2009-01-02,68-january_2009
3510,,CCA OCCASIONS LTD,,Stationery & Consumables,75726,2404.87,2009-01-02,69-january_2009
3511,,CHUBB SECURITY PERSONNELL LTD,,Security Charges,74150,36887.09,2009-01-02,71-january_2009
3512,,CHUBB SECURITY PERSONNELL LTD,,Security Charges,75728,36887.09,2009-01-02,72-january_2009
3513,,CHUBB SECURITY PERSONNELL LTD,,Security Charges,75731,6613.55,2009-01-02,73-january_2009
3514,,CHUBB SECURITY PERSONNELL LTD,,Security Charges,75748,6032.90,2009-01-02,74-january_2009
3515,,CIPFA,,"Books, Publications & Information",75104,1096.36,2009-01-02,75-january_2009
3516,,CIPFA,,Other External Services,2449,-33.95,2009-01-02,76-january_2009
3517,,CITY OF WESTMINSTER,,City Hall Licenses,75712,2070.00,2009-01-02,77-january_2009
3518,,CMP INFORMATION LTD,,Conferences & Seminars,62392,1880.00,2009-01-02,78-january_2009
3519,,COA SOLUTIONS LTD,,IT Software - Licences,75658,24541.94,2009-01-02,79-january_2009
3520,,COA SOLUTIONS LTD,,IT Software - Licences,75659,4210.74,2009-01-02,80-january_2009
3521,,COA SOLUTIONS LTD,,IT Software - Maintenance,73888,1116.25,2009-01-02,81-january_2009
3522,,COA SOLUTIONS LTD,,IT Software - Maintenance,75660,1016.37,2009-01-02,82-january_2009
3523,,COLT TELECOMMUNICATIONS,,Telephones,74368,4286.89,2009-01-02,83-january_2009
3524,,COLT TELECOMMUNICATIONS,,Telephones,75316,3573.99,2009-01-02,84-january_2009
3525,,COLT TELECOMMUNICATIONS,,Data Links,74707,2036.45,2009-01-02,85-january_2009
3526,,COLT TELECOMMUNICATIONS,,Data Links,75705,2036.45,2009-01-02,86-january_2009
3527,,COLT TELECOMMUNICATIONS,,Telephones,2440,-3658.36,2009-01-02,87-january_2009
3528,,COMPUTACENTER (UK) LTD,,IT Consumables,75171,8835.77,2009-01-02,88-january_2009
3529,,CORONA ENERGY,,Gas Charges,75221,5728.63,2009-01-02,89-january_2009
3530,,CRAFT SERVICES GROUP,,Temporary Agency Staff Costs,75672,9393.73,2009-01-02,90-january_2009
3531,,DATA PROTECT UK,,IT Consumables,75294,1481.43,2009-01-02,91-january_2009
3532,,DAVID BALL RESTORATION,,Fabric Repairs & Maintenance,75648,8810.00,2009-01-02,92-january_2009
3533,,DAVID BALL RESTORATION,,Fabric Repairs & Maintenance,75651,2080.99,2009-01-02,93-january_2009
3534,,DEEPSTORE LTD,,Records Management & Archiving,75427,1838.06,2009-01-02,94-january_2009
3535,,DELOITTE & TOUCHE,,Internal Audit Contract Fees,75129,25450.50,2009-01-02,95-january_2009
3536,,BANNER BUSINESS SUPPLIES LTD,,Stationery & Consumables,2486,-317.37,2009-01-02,50-january_2009
3537,,DELOITTE & TOUCHE LLP,,Internal Audit Contract Fees,75159,27600.00,2009-01-02,96-january_2009
3538,,HOUSE OF COMMONS,,Secondment Costs,75021,26060.07,2009-01-02,159-january_2009
3539,,HEWLETT-PACKARD LTD,,IT Hardware - Maintenance,75286,1911.02,2009-01-02,158-january_2009
3540,,HEWITSON WALKER,,Temporary Agency Staff Costs,75022,1041.32,2009-01-02,157-january_2009
3541,,HEWITSON WALKER,,Temporary Agency Staff Costs,74897,1059.92,2009-01-02,156-january_2009
3542,,HEWITSON WALKER,,Temporary Agency Staff Costs,74876,1415.24,2009-01-02,155-january_2009
3543,,HEWITSON WALKER,,Temporary Agency Staff Costs,75083,1596.66,2009-01-02,154-january_2009
3544,,HEWITSON WALKER,,Temporary Agency Staff Costs,75855,1711.25,2009-01-02,153-january_2009
3545,,HENDI SYSTEMS,,Publications Printing,75789,1054.00,2009-01-02,152-january_2009
3546,,HENDI SYSTEMS,,Publications Printing,73317,2308.00,2009-01-02,151-january_2009
3547,,HEATH LAMBERT LIMITED,,Other Supplies & Services,74462,6000.00,2009-01-02,150-january_2009
3548,,HAYS PERSONNEL SERVICES LTD,,Temporary Agency Staff Costs,74786,1399.67,2009-01-02,149-january_2009
3549,,HAYS PERSONNEL SERVICES LTD,,Temporary Agency Staff Costs,75229,1399.67,2009-01-02,148-january_2009
3550,,HAYS PERSONNEL SERVICES LTD,,Temporary Agency Staff Costs,75085,2277.00,2009-01-02,147-january_2009
3551,,HAYS PERSONNEL SERVICES LTD,,Temporary Agency Staff Costs,74364,2332.78,2009-01-02,146-january_2009
3552,,HAYS PERSONNEL SERVICES LTD,,Temporary Agency Staff Costs,75853,2332.78,2009-01-02,145-january_2009
3553,,HAYS PERSONNEL SERVICES LTD,,Temporary Agency Staff Costs,75493,2332.78,2009-01-02,144-january_2009
3554,,HAYS PERSONNEL SERVICES LTD,,Temporary Agency Staff Costs,74991,2332.78,2009-01-02,143-january_2009
3555,,HAYS IT,,Capital Expenditure - Consultancy,74750,11022.75,2009-01-02,142-january_2009
3556,,GREENWICH & DOCKLANDS FESTIVALS,,Other External Services,74866,1762.50,2009-01-02,141-january_2009
3557,,GREENWICH & DOCKLANDS FESTIVALS,,Other External Services,75534,5875.00,2009-01-02,140-january_2009
3558,,GREENWICH & DOCKLANDS FESTIVALS,,Other External Services,75533,5875.00,2009-01-02,139-january_2009
3559,,GREATER LONDON HIRE LTD,,Taxi Account Charges,75470,-11.29,2009-01-02,138-january_2009
3560,,GREATER LONDON HIRE LTD,,Taxi Account Charges,2432,1904.09,2009-01-02,137-january_2009
3561,,GREATER LONDON CONSERVATIVES,,REFUND SINV5403,75116,2603.75,2009-01-02,136-january_2009
3562,,GOODMAN MASSON,,Temporary Agency Staff Costs,2466,-66.10,2009-01-02,135-january_2009
3563,,GOODMAN MASSON,,Temporary Agency Staff Costs,75628,1002.55,2009-01-02,134-january_2009
3564,,GOODMAN MASSON,,Temporary Agency Staff Costs,74874,1192.60,2009-01-02,133-january_2009
3565,,GOODMAN MASSON,,Temporary Agency Staff Costs,75852,1295.91,2009-01-02,132-january_2009
3566,,GOODMAN MASSON,,Temporary Agency Staff Costs,74878,1401.60,2009-01-02,131-january_2009
3567,,GOODMAN MASSON,,Temporary Agency Staff Costs,74749,1480.46,2009-01-02,130-january_2009
3568,,GOODMAN MASSON,,Temporary Agency Staff Costs,74877,1493.51,2009-01-02,129-january_2009
3569,,GOODMAN MASSON,,Temporary Agency Staff Costs,75990,1521.59,2009-01-02,128-january_2009
3570,,GOODMAN MASSON,,Temporary Agency Staff Costs,74873,1542.15,2009-01-02,127-january_2009
3571,,GOODMAN MASSON,,Temporary Agency Staff Costs,75630,1603.84,2009-01-02,126-january_2009
3572,,GOODMAN MASSON,,Temporary Agency Staff Costs,75992,1654.34,2009-01-02,125-january_2009
3573,,GOODMAN MASSON,,Temporary Agency Staff Costs,74748,1654.34,2009-01-02,124-january_2009
3574,,GOODMAN MASSON,,Temporary Agency Staff Costs,75626,1677.32,2009-01-02,123-january_2009
3575,,GOODMAN MASSON,,Temporary Agency Staff Costs,75627,1710.59,2009-01-02,122-january_2009
3576,,GOODMAN MASSON,,Temporary Agency Staff Costs,74875,2142.57,2009-01-02,121-january_2009
3577,,GLOBAL TO LOCAL,,Conferences & Seminars,75244,5166.23,2009-01-02,120-january_2009
3578,,G STOW PLC,,Water & Sewage Charges,76013,3059.00,2009-01-02,119-january_2009
3579,,FUNKY FLOORS LTD,,Other External Services,75851,1645.00,2009-01-02,118-january_2009
3580,,FUEGO TECHNICAL LIMITED,,Consultancy Fees,75801,4990.00,2009-01-02,117-january_2009
3581,,FM24 LTD,,Telephones,75795,2880.75,2009-01-02,116-january_2009
3582,,FIDELMA O'NEILL,,Consultancy Fees,75261,1250.00,2009-01-02,115-january_2009
3583,,FACTIVA LIMITED,,"Books, Publications & Information",75269,1035.00,2009-01-02,114-january_2009
3584,,EVERSHEDS LLP,,Legal Fees,74179,1628.55,2009-01-02,113-january_2009
3585,,ENVIROS CONSULTING,,Consultancy Fees,75063,24373.10,2009-01-02,112-january_2009
3586,,ENTEC UK LIMITED,,Consultancy Fees,75353,7637.50,2009-01-02,111-january_2009
3587,,ENCAMS,,Consultancy Fees,74627,45481.17,2009-01-02,110-january_2009
3588,,ELEMENTENERGY,,Consultancy Fees,75026,29962.50,2009-01-02,109-january_2009
3589,,EDF ENERGY,,Electricity Charges,75222,4604.37,2009-01-02,108-january_2009
3590,,EDF ENERGY,,Electricity Charges,75296,42310.26,2009-01-02,107-january_2009
3591,,ECOLOGY CONSULTANCY LTD,,Consultancy Fees,75272,5600.50,2009-01-02,106-january_2009
3592,,EC HARRIS,,M&E Maintenance Works,76142,5750.00,2009-01-02,105-january_2009
3593,,EC HARRIS,,Managing Agent Cleaning,75646,6323.08,2009-01-02,104-january_2009
3594,,DUNCAN PRINT,,Publications Printing,2469,-227.00,2009-01-02,103-january_2009
3595,,DUNCAN PRINT,,Publications Printing,74812,1686.00,2009-01-02,102-january_2009
3596,,DSG RETAIL LTD,,Capital Expenditure - IT Software,75162,57190.64,2009-01-02,101-january_2009
3597,,DR JANICE CHEDDIE,,Consultancy Fees,75773,2500.00,2009-01-02,100-january_2009
3598,,DR JANICE CHEDDIE,,Consultancy Fees,75473,2500.00,2009-01-02,99-january_2009
3599,,DOUBLE EYE,,Capital Expenditure - Other Costs,74592,2829.00,2009-01-02,98-january_2009
3600,,DISABILITY NOW,,Other Supplies & Services,75277,1175.00,2009-01-02,97-january_2009
3601,,STEPHEN FRIEDMAN GALLERY,,Other Supplies & Services,75076,103500.00,2009-01-02,292-january_2009
3602,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Publications Printing,2487,-213.44,2009-01-02,291-january_2009
3603,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Publications Printing,2474,-42.81,2009-01-02,290-january_2009
3604,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Photocopying Charges,73777,1056.12,2009-01-02,289-january_2009
3605,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Photocopying Charges,74966,1142.85,2009-01-02,288-january_2009
3606,,"STAT OFFICE PARLIAMENTARY PRESS, THE",,Publications Printing,74970,6382.50,2009-01-02,287-january_2009
3607,,STAR EVENTS GROUP LTD,,Other Supplies & Services,75882,11500.00,2009-01-02,286-january_2009
3608,,STAR EVENTS GROUP LTD,,Other Supplies & Services,75102,12305.00,2009-01-02,285-january_2009
3609,,SPOCE PROJECT MANAGEMENT LTD,,Training Courses,74768,3668.50,2009-01-02,284-january_2009
3610,,SOUTHWARK CATHEDRAL ENTERPRISES LIMITED,,Other External Services,75184,3812.75,2009-01-02,283-january_2009
3611,,SOUND BY DESIGN,,Other External Services,75713,4899.00,2009-01-02,282-january_2009
3612,,SOLUTION PRODUCTS SYSTEMS LTD,,Data Purchase,74779,7872.51,2009-01-02,281-january_2009
3613,,SKYERS MORRIS ASSOCIATES,,Consultancy Fees,75609,4318.12,2009-01-02,280-january_2009
3614,,SKILL SOLVE,,Conferences & Seminars,73918,1304.26,2009-01-02,279-january_2009
3615,,SIGN SUPPLY LTD,,Other Printing,69959,1260.52,2009-01-02,278-january_2009
3616,,SENATOR INTERNATIONAL LTD,,Equipment Purchase/Hire,75494,4149.20,2009-01-02,277-january_2009
3617,,SECURICARE INTERNATIONAL,,Training Courses,72423,2291.25,2009-01-02,276-january_2009
3618,,SECTOR TREASURY SERVICES LIMITED,,Other External Services,74069,2875.00,2009-01-02,275-january_2009
3619,,SCIENCE DIRECT,,"Journals, Serials & Newspapers",75767,7258.12,2009-01-02,274-january_2009
3620,,SAUNDERS BOSTON LTD,,Consultancy Fees,72803,4975.46,2009-01-02,273-january_2009
3621,,ROYAL MAIL GROUP PLC,,Other External Services,74089,1181.11,2009-01-02,272-january_2009
3622,,ROYAL MAIL GROUP PLC,,Other External Services,75425,1624.73,2009-01-02,271-january_2009
3623,,ROCKPOOLS,,Temporary Agency Staff Costs,75315,8452.50,2009-01-02,270-january_2009
3624,,ROBERT WALTERS,,Temporary Agency Staff Costs,75612,1095.38,2009-01-02,269-january_2009
